title,url,sentiment
13/02/2025,Thousands of Americans Use Sideloading Workaround to Install TikTok on iPhones,0
13/02/2025,Apple Slashes Beats Powerbeats Pro to All-Time Low as Pro 2 Rolls Out,0
14/02/2025,Netflix finally decides to play nice and support the Apple TV app,0.3
14/02/2025,Netflix says its brief Apple TV app integration was a mistake,0
14/02/2025,"The 2nd Gen Apple Watch SE Just Hit Its Lowest Price in Two Months, Only $169 for Presidents’ Day",0
14/02/2025,Elon Musk: agent of chaos,0
15/02/2025,The Official DOGE Website Launch Was a Security Mess,-0.175
17/02/2025,"The M2 Apple MacBook Air Is $400 Off on Amazon for Presidents’ Day, Its Lowest Price Ever",0
18/02/2025,OnePlus Watch 3: The Battery King of Smartwatches,0
18/02/2025,All of Chipolo’s Bluetooth trackers are discounted in sitewide sale,0
19/02/2025,Apple launches the iPhone 16E,0
19/02/2025,Apple’s first in-house iPhone modem is the C1,0.25
19/02/2025,"Apple iPhone 16e (2025): Specs, Price, Release Date",0
19/02/2025,8 important things to know about the iPhone 16E,0.4
19/02/2025,Here’s Everything the iPhone 16e Can’t Do,0
19/02/2025,"Samsung Galaxy Buds3 Pro Just Dropped to $100 With Trade-In, a Steal Compared to AirPods Pro 2",0
19/02/2025,Here’s when and where you can preorder the new iPhone 16E,0.1364
19/02/2025,Verge staffers react to the iPhone 16E: what we love and don’t love,0.5
19/02/2025,How the new iPhone 16E compares to the rest of Apple’s iPhone 16 lineup,0.1364
19/02/2025,Apple Launched the iPhone 16E. Here's What You Get for $599,0
20/02/2025,Apple Says 'Severance' Is Now More Popular Than 'Ted Lasso',0.55
21/02/2025,What Does the Market Think About Arthur J. Gallagher? - Arthur J. Gallagher  ( NYSE:AJG ) ,0
21/02/2025,What's Driving the Market Sentiment Around Carlyle Group? - Carlyle Group  ( NASDAQ:CG ) ,0
21/02/2025,Prediction: This Artificial Intelligence  ( AI )  Chip Stock Will Soar Higher After Feb. 26  ( Hint: It's Not Nvidia ) ,-0.175
21/02/2025,Introducing Community-Driven Content Creation and Fact-Checking at cryptogambling.com,0
21/02/2025,"Russia Faces Surge in Crypto Crime, Supreme Court Prepares Legislation",0
21/02/2025,Trump Media Board Votes to Advance Expansion Plans - Trump Media & Technology  ( NASDAQ:DJT ) ,0
21/02/2025,Lantheus to Present at Upcoming Investor Conferences,0
21/02/2025,Julie A. Beck Joins Carpenter Technology's Board of Directors,0
21/02/2025,"This Tech Giant Is Making Big Moves With Generative AI, but Here Are 3 Risks Investors Need to Know About",0
21/02/2025,Trump Media Board Votes to Advance Expansion Plans,0
21/02/2025,The Rise of Quantum Key Distribution Market: A $2.63 billion Industry Dominated by Tech Giants - Toshiba  ( Japan )  and MagiQ Technologies  ( US ) | MarketsandMarkets™,0
21/02/2025,Inozyme Pharma to Present Recently Announced Interim Data for INZ-701 in Infants and Young Children with ENPP1 Deficiency at CHOP Cardiology 2025 - Inozyme Pharma  ( NASDAQ:INZY ) ,0.0333
21/02/2025,Neuronetics to Report Fourth Quarter 2024 Financial and Operating Results and Host Conference Call,0
21/02/2025,"Longeveron® to Report Full Year 2024 Financial Results and Host Conference Call on February 28, 2025",0.175
21/02/2025,Infrastructure Dividend Split Corp. Class A Distributions,0
21/02/2025,"Navitas to Unveil Breakthrough Advances in GaN and SiC for AI Data Center, EV, and Mobile Applications at APEC 2025 - Navitas Semiconductor  ( NASDAQ:NVTS ) ",-0.1
21/02/2025,Lantheus to Present at Upcoming Investor Conferences - Lantheus Holdings  ( NASDAQ:LNTH ) ,0
21/02/2025,Julie A. Beck Joins Carpenter Technology's Board of Directors - Carpenter Tech  ( NYSE:CRS ) ,0
21/02/2025,Neuronetics to Report Fourth Quarter 2024 Financial and Operating Results and Host Conference Call - Neuronetics  ( NASDAQ:STIM ) ,0
21/02/2025,Coinbase says the SEC has agreed to end enforcement case against crypto exchange,-0.1
21/02/2025,"MP Materials Q4 Earnings: 48% Revenue Surge, Higher Production, Soft Pricing Environment And More - MP Materials  ( NYSE:MP ) ",0.2833
21/02/2025,UnitedHealth tumbles 12% on WSJ report the DOJ is investigating Medicare billing practices,0
21/02/2025,SEALSQ Deploys its PQC Technology Across Sovereign Data Centers in Switzerland and France,0
21/02/2025,"Coinbase, SEC Reach Agreement to Dismiss Lawsuit",-0.1
21/02/2025,"Micron Technology, Inc. Class Action Lawsuit Alert: Johnson Fistel Announces Shareholders with Losses Should Contact the Law Firm for More Information - Micron Technology  ( NASDAQ:MU ) ",0.1333
21/02/2025,"Taiwan Semiconductor Too Big For The Index, Regulator Considers Lifting Weight Cap - Taiwan Semiconductor  ( NYSE:TSM ) ",0
21/02/2025,Price Over Earnings Overview: Payoneer Global - Payoneer Global  ( NASDAQ:PAYO ) ,0
21/02/2025,3 Top Warren Buffett Stocks to Buy Right Now,0.3929
21/02/2025,Arbor Realty Trust Reports Fourth Quarter and Full Year 2024 Results and Declares Dividend of $0.43 per Share,0.175
21/02/2025,The Projected 2026 Social Security Cost-of-Living Adjustment  ( COLA )  Just Increased,0.0333
21/02/2025,What's Going On With NIO Stock Today? - NIO  ( NYSE:NIO ) ,0
21/02/2025,"Alibaba investors hail e-commerce giant's AI pivot, major outlay",0.0312
21/02/2025,"How DeepSeek used distillation to train its artificial intelligence model, and what it means for companies such as OpenAI",-0.3
21/02/2025,Firefly Neuroscience Announces Exercise of Warrants for Total Proceeds of $8.8 Million,0
21/02/2025,NKGen Biotech Announces Administration of First Dose of Troculeucel to Frontotemporal Dementia Patient Under FDA-Cleared Compassionate Use Program,0.25
21/02/2025,DMG Blockchain Solutions Inc. Announces First Quarter 2025 Earnings Release Date and Conference Call Details,0.25
21/02/2025,Intra-Cellular Therapies Reports Fourth Quarter and Full-Year 2024 Financial Results,0
21/02/2025,"Ocugen to Host Conference Call on Wednesday, March 5, 2025 at 8:30 A.M. ET to Discuss Business Updates and Fourth Quarter and Full Year 2024 Financial Results",0.1167
21/02/2025,1 Spectacular Tech Stock Down 81% to Buy Hand Over Fist in February,0.2222
21/02/2025,"Vital Farms and Its President & CEO Russell Diez-Canseco Recognized for ""Catalyzing Positive Social and Environmental Change"" on Big Path Capital's 2025 MO 100 Top Impact CEO Ranking",0.1721
21/02/2025,"Tiziana Life Sciences Announces Agreement for Product Development Services with Renaissance Lakewood, LLC",0
21/02/2025,"GDEV Declares One-Time, Nonrecurring Special Cash Dividend of $3.31 Per Share",0.3571
21/02/2025,Prediction: This Will Be the Top-Performing Chip Stock Over the Next 10 Years  ( Hint: It's Not Nvidia ) ,0
21/02/2025,Madrigal Pharmaceuticals to Participate in the 45th Annual TD Cowen Health Care Conference - Madrigal Pharmaceuticals  ( NASDAQ:MDGL ) ,0
21/02/2025,Uniti Group Inc. Reports Fourth Quarter and Full Year 2024 Results,0.175
21/02/2025,Madrigal Pharmaceuticals to Participate in the 45th Annual TD Cowen Health Care Conference,0
21/02/2025,MAX Power Adds New Board Member,0.1364
21/02/2025,"GDEV Declares One-Time, Nonrecurring Special Cash Dividend of $3.31 Per Share - GDEV  ( NASDAQ:GDEV ) ",0.3571
21/02/2025,"FIRST BANCSHARES, INC. ANNOUNCES ANNUAL CASH DIVIDEND OF $0.40 PER SHARE",0.25
21/02/2025,CESUR Mining Enhances Its Cloud Mining Services by Supporting a Wide Range of Digital Assets,0.05
